Category,Type,Subcategory,Sub-Subcategory,Mechanical Property Data Source(s),Name,Treatment or Temper,Treatment Temperature (F),Treatment Temperature (C),Minimum Ultimate Tensile Strength (psi),Maximum Ultimate Tensile Strength (psi),Ultimate Tensile Strength (psi),Minimum Yield Strength (psi),Maximum Yield Strength (psi),Yield Strength (psi),Minimum Ultimate Tensile Strength (MPa),Maximum Ultimate Tensile Strength (MPa),Ultimate Tensile Strength (MPa),Minimum Yield Strength (MPa),Maximum Yield Strength (MPa),Yield Strength (MPa),Minimum Elongation (%),Maximum Elongation (%),Elongation (%),Reduction in Cross Sectional Area (%),Brinell Hardness,Rockwell Hardness,Izod Impact Strength (Ft-lb),Izod Impact Strength (N-m),Water Quenched?,Ultimate Shearing Strength (ksi),Ultimate Shearing Strength (Mpa),Endurance limit (ksi),Endurance limit (MPa)
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1030,Tempered,1200.00,648.89,,,85000.0,,,64000.0,,,586.1,,,441.3,,,32.0,70.0,207.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,400.00,204.44,,,130000.0,,,96000.0,,,896.3,,,661.9,,,16.0,45.0,514.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,600.00,315.56,,,129000.0,,,94000.0,,,889.4,,,648.1,,,18.0,52.0,444.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,800.00,426.67,,,122000.0,,,92000.0,,,841.2,,,634.3,,,21.0,57.0,352.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,1000.00,537.78,,,113000.0,,,86000.0,,,779.1,,,592.9,,,23.0,61.0,269.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,1200.00,648.89,,,97000.0,,,72000.0,,,668.8,,,496.4,,,28.0,68.0,201.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,400.00,204.44,,,113000.0,,,86000.0,,,779.1,,,592.9,,,19.0,48.0,262.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,600.00,315.56,,,113000.0,,,86000.0,,,779.1,,,592.9,,,20.0,53.0,255.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,800.00,426.67,,,110000.0,,,80000.0,,,758.4,,,551.6,,,21.0,54.0,241.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,1000.00,537.78,,,104000.0,,,71000.0,,,717.1,,,489.5,,,26.0,57.0,212.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,1200.00,648.89,,,92000.0,,,63000.0,,,634.3,,,434.4,,,29.0,65.0,192.0,,,,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1050,Tempered,400.00,204.44,,,163000.0,,,117000.0,,,1123.8,,,806.7,,,9.0,27.0,514.0,,,,Yes,,,,
